"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617101560522-1"	"1017092617101560522-1"	6008.62706995274	-4391.24213266116	"LH"	"LH"	12	14	10	7	5	13	4	11	12	16	25	13
"1017092617101560721"	"1017092617101560721"	6015.1294956847	-4488.42932044952	"LH"	"LH"	12	14	10	7	5	13	4	15	12	16	20	13
"1017092617101560786"	"1017092617101560786"	6108.33295733899	-4491.77180431145	"LH"	"LH"	12	14	10	7	5	13	4	13	12	16	17	13
"1017092617101780051-1"	"1017092617101780051-1"	4982.13268421418	-4647.68510609931	"LH"	"LH"	12	14	10	7	5	13	4	8	12	16	15	13
"1017092617101780187-1"	"1017092617101780187-1"	5042.05640348692	-4664.14380345193	"LH"	"LH"	12	14	10	7	5	13	4	1	12	16	4	13
"1017092617101560632-1"	"1017092617101560632-1"	5951.57736871079	-4460.59121604154	"LH"	"LH"	12	14	10	7	5	13	4	15	12	16	15	13
"1017092617101540846"	"1017092617101540846"	5073.2007012951	-4426.91359122778	"MH"	"MH"	12	14	10	7	5	13	15	4	19	16	18	20
"1017092617101560667"	"1017092617101560667"	5914.66403096177	-4471.69787375756	"MH"	"MH"	12	14	10	7	5	13	15	6	12	16	15	13
"1017092617101800439-1"	"1017092617101800439-1"	5945.55302142841	-4888.21554146742	"LH"	"LH"	12	14	10	7	5	13	4	6	12	16	1	13
"1017092617101540727"	"1017092617101540727"	4944.81761005002	-4492.7530044615	"LH"	"LH"	12	14	10	7	5	13	4	24	12	16	27	13
"1017092617101541101"	"1017092617101541101"	4912.65988037841	-4616.22161269524	"LH"	"LH"	12	14	10	7	5	13	4	7	12	16	25	13
"1017092617101560999"	"1017092617101560999"	6159.16619420684	-4595.65908479215	"LH"	"LH"	12	14	10	7	5	13	4	13	12	16	21	13
"1017092617101780214-1"	"1017092617101780214-1"	5030.5177510679	-4686.64717034225	"LH"	"LH"	12	14	10	7	5	13	4	15	12	16	11	13
"1017092617101800050-1"	"1017092617101800050-1"	6138.27333605405	-4591.89106809247	"LH"	"LH"	12	14	10	7	5	13	4	15	12	16	9	13
"1017092617101540985"	"1017092617101540985"	4930.19562241309	-4585.91128985033	"LH"	"LH"	12	14	10	7	5	13	4	3	12	16	19	13
"1017092617101780112-1"	"1017092617101780112-1"	4956.87366070143	-4684.50265652683	"LH"	"LH"	12	14	10	7	5	13	4	17	12	16	2	13
"1017092617101540899"	"1017092617101540899"	4932.76870485419	-4555.6108086517	"LH"	"LH"	12	14	10	7	5	13	4	18	12	16	26	13
"1017092617101541213"	"1017092617101541213"	4940.23071810474	-4640.71084038043	"LH"	"LH"	12	14	10	7	5	13	4	6	12	16	21	13
"1017092617101540966"	"1017092617101540966"	4919.32290214955	-4585.11417840182	"LH"	"LH"	12	14	10	7	5	13	4	21	12	16	15	13
"1017092617101560773"	"1017092617101560773"	6039.3484644517	-4504.72707932662	"LH"	"LH"	12	14	10	7	5	13	4	15	12	16	28	13
"1017092617101540820"	"1017092617101540820"	4919.85687097975	-4538.24301504506	"LH"	"LH"	12	14	10	7	5	13	4	6	12	16	18	13
"1017092617101560749"	"1017092617101560749"	5891.54164156721	-4507.96594550295	"MH"	"MH"	12	14	10	7	5	13	15	24	12	16	2	13
"1017092617101540913"	"1017092617101540913"	4937.85587758102	-4561.04253983076	"LH"	"LH"	12	14	10	7	5	13	4	22	12	16	1	13
"1017092617101800220-1"	"1017092617101800220-1"	5844.3006880765	-4767.02605300956	"LH"	"LH"	12	14	10	7	5	13	4	5	12	16	27	13
"1017092617101560825"	"1017092617101560825"	5971.06326487695	-4526.51438229958	"LH"	"LH"	12	14	10	7	5	13	4	14	12	16	10	13
"1017092617101800099"	"1017092617101800099"	5961.67828213283	-4651.6723288811	"LH"	"LH"	12	14	10	7	5	13	4	7	12	16	17	13
"1017092617101780366-1"	"1017092617101780366-1"	4960.96380130874	-4777.70186786223	"LH"	"LH"	12	14	10	7	5	13	4	23	12	16	2	13
"1017092617101560921"	"1017092617101560921"	6159.71881891174	-4543.35177246602	"LH"	"LH"	12	14	10	7	5	13	4	22	12	16	15	13
"1017092617101800138-1"	"1017092617101800138-1"	5925.60696443801	-4689.43745477703	"LH"	"LH"	12	14	10	7	5	13	4	9	12	16	16	13
"1017092617101800314-1"	"1017092617101800314-1"	5928.74787430857	-4812.28131951074	"LH"	"LH"	12	14	10	7	5	13	4	6	12	16	18	13
"1017092617101780040"	"1017092617101780040"	4985.25868574088	-4642.62997433722	"LH"	"LH"	12	14	10	7	5	13	4	19	12	16	10	13
"1017092617101560693-1"	"1017092617101560693-1"	5993.38180571384	-4481.64989622511	"LH"	"LH"	12	14	10	7	5	13	4	11	12	16	26	13
"1017092617101780410-1"	"1017092617101780410-1"	4946.9401424447	-4797.81258603243	"LH"	"LH"	12	14	10	7	5	13	4	13	12	16	19	13
"1017092617101541107"	"1017092617101541107"	5058.97204069768	-4511.62964013183	"LH"	"LH"	12	14	10	7	5	13	4	15	12	16	7	13
"1017092617101780246-1"	"1017092617101780246-1"	4911.06526113287	-4729.96932564484	"LH"	"LH"	12	14	10	7	5	13	4	3	12	16	17	13
"1017092617101800237"	"1017092617101800237"	6099.45011421055	-4725.24709051352	"LH"	"LH"	12	14	10	7	5	13	4	18	12	16	18	13
"1017092617101800245-1"	"1017092617101800245-1"	6108.16912292291	-4734.9046601538	"LH"	"LH"	12	14	10	7	5	13	4	7	12	16	15	13
"1017092617101800123"	"1017092617101800123"	6131.52555407071	-4640.49366192595	"LH"	"LH"	12	14	10	7	5	13	4	11	12	16	18	13
"1017092617101780467-1"	"1017092617101780467-1"	4920.92265952293	-4827.90351819931	"LH"	"LH"	12	14	10	7	5	13	4	14	12	16	24	13
"1017092617101780390-1"	"1017092617101780390-1"	4917.34618019868	-4792.47333292156	"LH"	"LH"	12	14	10	7	5	13	4	13	12	16	7	13
"1017092617101800125-1"	"1017092617101800125-1"	5924.1681442904	-4682.38340392803	"LH"	"LH"	12	14	10	7	5	13	4	13	12	16	10	13
"1017092617101541106"	"1017092617101541106"	5003.12723863149	-4565.50947066405	"LH"	"LH"	12	14	10	7	5	13	4	9	12	16	7	13
"1017092617101541064"	"1017092617101541064"	4980.0309424137	-4574.51583190109	"LH"	"LH"	12	14	10	7	5	13	4	22	12	16	20	13
"1017092617101780506-1"	"1017092617101780506-1"	4952.66050726475	-4847.99538945282	"LH"	"LH"	12	14	10	7	5	13	4	14	12	16	20	13
"1017092617101780519-1"	"1017092617101780519-1"	4945.15197558934	-4853.23411794726	"LH"	"LH"	12	14	10	7	5	13	4	14	12	16	4	13
"1017092617101800119-1"	"1017092617101800119-1"	5862.76668915834	-4696.44295667384	"LH"	"LH"	12	14	10	7	5	13	4	23	12	16	2	13
"1017092617101800122-1"	"1017092617101800122-1"	5929.28768942768	-4678.00903224411	"LH"	"LH"	12	14	10	7	5	13	4	18	12	16	13	13
"1017092617101530851"	"1017092617101530851"	4903.7017432326	-4636.96743232895	"LH"	"LH"	12	14	10	7	5	13	4	18	12	16	26	13
"1017092617101541059"	"1017092617101541059"	4994.87780458112	-4555.0672715696	"LH"	"LH"	12	14	10	7	5	13	4	3	12	16	12	13
"1017092617101780516-1"	"1017092617101780516-1"	4938.09773272564	-4850.14439828652	"LH"	"LH"	12	14	10	7	5	13	4	19	12	16	3	13
"1017092617101800106-1"	"1017092617101800106-1"	6049.59160129872	-4634.05827969279	"LH"	"LH"	12	14	10	7	5	13	4	20	12	16	24	13
"1017092617101560862"	"1017092617101560862"	6024.96403583211	-4539.79364462235	"LH"	"LH"	12	14	10	7	5	13	4	9	12	16	1	13
"1017092617101800091"	"1017092617101800091"	5931.75434232275	-4655.0101482826	"LH"	"LH"	12	14	10	7	5	13	4	10	12	16	23	13
"1017092617101780499-1"	"1017092617101780499-1"	4962.36515000348	-4848.94898658618	"LH"	"LH"	12	14	10	7	5	13	4	21	12	16	8	13
"1017092617101780514-1"	"1017092617101780514-1"	4996.86697250525	-4863.43867313159	"LH"	"LH"	12	14	10	7	5	13	4	3	12	16	20	13
"1017092617101800116-1"	"1017092617101800116-1"	6022.6307768482	-4654.52777893981	"LH"	"LH"	12	14	10	7	5	13	4	8	12	16	9	13
"1017092617101800086"	"1017092617101800086"	5936.30317918693	-4652.54740037986	"LH"	"LH"	12	14	10	7	5	13	4	22	12	16	14	13
"1017092617101560934"	"1017092617101560934"	5909.51344628788	-4605.40419328042	"LH"	"LH"	12	14	10	7	5	13	4	6	12	16	19	13
"1017092617101560903"	"1017092617101560903"	6148.92709204368	-4533.36792506949	"LH"	"LH"	12	14	10	7	5	13	4	17	12	16	2	13
"1017092617101541181"	"1017092617101541181"	5108.87295074513	-4503.90688956632	"LH"	"LH"	12	14	10	7	5	13	4	20	12	16	1	13
"1017092617101770174-1"	"1017092617101770174-1"	4890.90766633921	-4728.62921636149	"LH"	"LH"	12	14	10	7	5	13	4	16	12	16	9	13
"1017092617101780128-1"	"1017092617101780128-1"	4973.64599548352	-4682.18803846277	"LH"	"LH"	12	14	10	7	5	13	4	14	12	16	17	13
"1017092617101540983"	"1017092617101540983"	4989.47164131745	-4538.4023216708	"LH"	"LH"	12	14	10	7	5	13	4	10	12	16	14	13
"1017092617101790067-1"	"1017092617101790067-1"	5760.37469697591	-4670.8398165173	"MH"	"MH"	3	9	7	10	9	8	15	15	7	16	1	6
"1017092617101780080-1"	"1017092617101780080-1"	5001.84362570353	-4646.51486533133	"LH"	"LH"	12	14	10	7	5	13	4	22	12	16	9	13
"1017092617201770054"	"1017092617201770054"	4890.89772689148	-4685.75761790449	"LH"	"LH"	12	14	10	7	5	13	4	1	12	16	4	13
"1017092617101780328-1"	"1017092617101780328-1"	5043.25136047967	-4746.7092573706	"LH"	"LH"	12	14	10	7	5	13	4	17	12	16	22	13
"1017092617101530902"	"1017092617101530902"	4894.86015581788	-4665.9155164844	"LH"	"LH"	12	14	10	7	5	13	4	14	12	16	2	13
"1017092617101590761"	"1017092617101590761"	7094.40187497482	-4366.90089418839	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	11	7
"1017092617102290340"	"1017092617102290340"	6617.61354103371	-5694.36786574134	"PO"	"PO"	10	8	2	5	17	0	14	17	1	9	26	1
"1017092617102310455"	"1017092617102310455"	7354.18253339204	-5655.01708374697	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102300605-1"	"1017092617102300605-1"	7203.90357026166	-5849.94543580605	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101520201-1"	"1017092617101520201-1"	3893.11448790029	-4496.44404721862	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	11	7
"1017092617102300091-1"	"1017092617102300091-1"	6795.80223367123	-5449.51148116769	"PO"	"PO"	10	8	2	5	17	0	7	19	1	8	24	1
"1017092617101760194-1"	"1017092617101760194-1"	3806.38695262538	-4920.18180472195	"PO"	"PO"	10	15	2	17	17	7	7	19	20	8	23	21
"1017092617102030547"	"1017092617102030547"	5757.38462634143	-5473.934771476	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617101830113-1"	"1017092617101830113-1"	7333.83505760109	-4437.63418715101	"LP"	"LP"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102280036"	"1017092617102280036"	5857.58402786554	-5512.23712685377	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102040645"	"1017092617102040645"	6030.59061435533	-5503.4467051325	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102010541"	"1017092617102010541"	4595.86200010005	-5589.16098009945	"PCN"	"PCN"	10	8	2	5	13	0	14	17	1	8	24	1
"1017092617101820461-1"	"1017092617101820461-1"	6904.13753298762	-4747.52221824704	"LP"	"LP"	13	15	2	17	17	7	24	5	6	9	4	17
"1017092617102540082"	"1017092617102540082"	7221.45305440962	-5909.22642431647	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	19	25	24
"1017092617101830131-1"	"1017092617101830131-1"	7166.05932946285	-4483.9356776484	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	16	7
"1017092617102310365-1"	"1017092617102310365-1"	7509.7106965125	-5583.78914462345	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102300159-1"	"1017092617102300159-1"	6860.31382554209	-5492.38273728927	"PO"	"PO"	7	8	2	4	8	2	7	19	20	27	23	3
"1017092617101520564-1"	"1017092617101520564-1"	3861.25160583819	-4718.17372539713	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	16	7
"1017092617102540273"	"1017092617102540273"	7107.13274922845	-6203.76482864273	"VPL"	"VPL"	7	12	0	4	8	2	11	9	22	11	25	17
"1017092617102300191-1"	"1017092617102300191-1"	6810.03274516526	-5528.52753052816	"PO"	"PO"	10	8	2	5	17	0	7	19	1	8	23	1
"1017092617101840619"	"1017092617101840619"	8064.69308250155	-4689.71632769632	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101590859"	"1017092617101590859"	7086.86564896625	-4422.60134900972	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	16	7
"1017092617101750157"	"1017092617101750157"	3700.80521699182	-4915.49530183715	"PO"	"PO"	7	8	2	4	8	2	7	19	24	8	4	26
"1017092617101510446-1"	"1017092617101510446-1"	3551.5338034071	-4609.39168425549	"LGd"	"LGd-co"	4	4	5	3	20	5	10	5	5	20	12	5
"1017092617101570638"	"1017092617101570638"	6209.39864658423	-4545.8444070907	"LH"	"LH"	6	3	15	11	6	16	8	3	21	13	6	8
"1017092617101770701"	"1017092617101770701"	4561.0149935836	-5161.73200453234	"CL"	"CL"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102490703-1"	"1017092617102490703-1"	4741.95704627549	-6739.68502746641	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617101780593"	"1017092617101780593"	4838.13170083404	-4894.74583741876	"CL"	"CL"	16	7	1	11	16	16	8	24	21	13	6	8
"1017092617101800804"	"1017092617101800804"	6030.47980165501	-5068.7486972579	"MD"	"MD"	16	7	1	11	16	16	8	3	9	13	6	8
"1017092617101800805"	"1017092617101800805"	5814.12300569094	-5026.55009277385	"PVT"	"PVT"	16	16	15	11	16	12	8	8	11	3	8	12
"1017092617102020183-1"	"1017092617102020183-1"	4972.0039828015	-5191.6160234309	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617102020166-1"	"1017092617102020166-1"	4963.94108554294	-5178.2464365531	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617101800669"	"1017092617101800669"	6120.13640630522	-5013.28194635212	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102020164-1"	"1017092617102020164-1"	4922.09973872917	-5185.11353615201	"MD"	"MD"	16	7	1	15	6	16	16	3	9	13	6	8
"1017092617102040135-1"	"1017092617102040135-1"	5832.08290173396	-5097.81470508686	"PVT"	"PVT"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617102270250-1"	"1017092617102270250-1"	5485.1169377449	-5750.78778451189	"IMD"	"IMD"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617101800802"	"1017092617101800802"	5779.03224415658	-5028.9971200066	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	14	6	8
"1017092617102020117"	"1017092617102020117"	5054.8795154041	-5157.54572386014	"MD"	"MD"	16	7	8	13	18	12	2	8	11	13	6	8
"1017092617101770668"	"1017092617101770668"	4748.94624407537	-5107.57474835107	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	8
"1017092617102020078-1"	"1017092617102020078-1"	5000.16833718623	-5125.38227150863	"MD"	"MD"	11	16	8	13	18	12	16	3	9	14	6	8
"1017092617101770340-1"	"1017092617101770340-1"	4817.7965164224	-4824.95164286136	"CL"	"CL"	16	3	15	11	16	16	8	3	21	13	20	8
"1017092617101780872"	"1017092617101780872"	4896.31371088413	-5064.69957136652	"MD"	"MD"	16	7	1	11	6	16	8	3	9	13	6	8
"1017092617102030121"	"1017092617102030121"	5695.17526593297	-5099.42179061513	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617102020086-1"	"1017092617102020086-1"	4970.71787163079	-5134.85717266795	"MD"	"MD"	16	16	8	15	18	12	16	3	9	14	6	8
"1017092617102020178-1"	"1017092617102020178-1"	4976.39335770775	-5191.43401545353	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617102040230-1"	"1017092617102040230-1"	6082.96273239529	-5157.03445715724	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617101800643"	"1017092617101800643"	6152.14836555864	-5007.32831668429	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102020172"	"1017092617102020172"	4975.55936101704	-5184.84814728043	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617101800309-1"	"1017092617101800309-1"	6261.89877687627	-4696.0197473723	"CL"	"CL"	6	3	15	11	12	19	8	10	21	13	6	8
"1017092617101800431-1"	"1017092617101800431-1"	6176.6098553117	-4910.36710824653	"MD"	"MD"	16	7	1	11	16	16	8	3	9	13	6	8
"1017092617102040209-1"	"1017092617102040209-1"	6083.78544821096	-5148.32902135564	"MD"	"MD"	16	7	1	11	16	16	6	24	21	13	20	8
"1017092617101780963"	"1017092617101780963"	5100.65777559679	-5135.40789210233	"MD"	"MD"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617101800529-1"	"1017092617101800529-1"	6238.48610275668	-4914.89810204665	"MD"	"MD"	16	7	1	11	16	16	16	3	9	13	6	8
"1017092617102020138-1"	"1017092617102020138-1"	4949.603415526	-5167.1980302164	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617101770444-1"	"1017092617101770444-1"	4808.47871877074	-4906.74421650069	"CL"	"CL"	16	7	1	11	16	16	8	3	21	13	6	8
"1017092617102040127"	"1017092617102040127"	5879.4559097446	-5098.04596365028	"PVT"	"PVT"	16	7	1	11	16	16	16	3	9	13	6	8
"1017092617102040193"	"1017092617102040193"	6068.88516387248	-5143.64314018898	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617101570651"	"1017092617101570651"	6223.82928353796	-4550.8759921929	"CL"	"CL"	6	3	15	11	6	19	8	3	21	13	6	8
"1017092617101770345"	"1017092617101770345"	4818.38562639497	-4835.70422268331	"CL"	"CL"	16	3	15	11	6	19	8	3	21	13	2	8
"1017092617101800733"	"1017092617101800733"	5749.68750208485	-4994.40480427167	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617102020141-1"	"1017092617102020141-1"	4925.42175855392	-5164.43110033042	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617102020113-1"	"1017092617102020113-1"	4987.32585258295	-5145.9086565304	"MD"	"MD"	16	7	8	15	18	12	16	3	9	14	6	8
"1017092617101800451-1"	"1017092617101800451-1"	6237.33561223183	-4876.26117144863	"CL"	"CL"	16	7	1	11	16	16	8	3	21	13	6	8
"1017092617101800449-1"	"1017092617101800449-1"	6143.80139313237	-4945.58163604523	"MD"	"MD"	16	7	1	11	16	16	8	24	21	13	8	8
"1017092617101800480-1"	"1017092617101800480-1"	6109.77541605084	-4969.69090337714	"MD"	"MD"	16	7	1	11	16	16	8	3	9	13	6	8
"1017092617102020067-1"	"1017092617102020067-1"	4983.44251389266	-5120.15420602606	"MD"	"MD"	16	7	8	15	6	12	16	3	9	14	6	8
"1017092617101800738"	"1017092617101800738"	5722.40870870495	-4991.12287470914	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617102270333-1"	"1017092617102270333-1"	5620.21362809404	-5792.56533242557	"IMD"	"IMD"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617101770514-1"	"1017092617101770514-1"	4736.54708497672	-4979.67817102472	"CL"	"CL"	16	7	1	11	16	16	16	24	9	1	20	2
"1017092617101770520-1"	"1017092617101770520-1"	4836.58093984743	-4962.92530178405	"MD"	"MD"	16	7	1	11	16	16	8	24	21	13	6	8
"1017092617101790947"	"1017092617101790947"	5542.29874040059	-5017.25450187909	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617101800425-1"	"1017092617101800425-1"	6203.04690640922	-4886.84059714895	"MD"	"MD"	16	7	1	11	16	16	8	3	9	13	6	8
"1017092617101800635"	"1017092617101800635"	6202.39589054351	-4981.23382031677	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102020069-1"	"1017092617102020069-1"	4933.76647316795	-5123.50037337137	"MD"	"MD"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617101800467-1"	"1017092617101800467-1"	6123.15544387348	-4961.85288524588	"MD"	"MD"	16	7	1	11	16	16	6	24	21	13	6	8
"1017092617101800744"	"1017092617101800744"	5761.41030870754	-4997.35888122577	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617101770383"	"1017092617101770383"	4868.8042659796	-4868.22156718407	"LH"	"LH"	12	14	10	11	5	13	8	3	21	13	6	8
"1017092617101770541-1"	"1017092617101770541-1"	4865.88646807783	-4967.70204828019	"MD"	"MD"	16	7	1	11	16	16	8	24	21	13	6	8
"1017092617101800730"	"1017092617101800730"	6144.74729772608	-5031.6398083802	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102020187-1"	"1017092617102020187-1"	5005.35818961009	-5198.02771117336	"MD"	"MD"	16	7	1	15	16	16	16	3	9	13	6	8
"1017092617101800390"	"1017092617101800390"	6180.98087020797	-4884.52259796168	"LH"	"LH"	16	7	1	11	16	16	8	3	9	13	20	8
"1017092617101800400-1"	"1017092617101800400-1"	6144.55171643895	-4915.62717354046	"MD"	"MD"	16	7	1	11	16	16	8	3	9	13	6	8
"1017092617101800409"	"1017092617101800409"	6227.29478749908	-4846.37589540592	"CL"	"CL"	16	3	15	11	16	16	8	3	21	13	20	8
"1017092617102030113-1"	"1017092617102030113-1"	5741.97517056164	-5088.86126864422	"PVT"	"PVT"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617101800333-1"	"1017092617101800333-1"	6233.27397819301	-4763.82832664018	"CL"	"CL"	16	3	15	11	6	19	8	3	21	13	6	8
"1017092617102040109-1"	"1017092617102040109-1"	5844.46407125537	-5071.54244969888	"PVT"	"PVT"	16	7	1	11	16	16	16	3	9	13	6	8
"1017092617101780671"	"1017092617101780671"	4879.48533800833	-4941.72812404325	"MD"	"MD"	16	7	1	11	16	16	8	3	21	13	6	8
"1017092617101800396-1"	"1017092617101800396-1"	6211.92519060283	-4852.1128324979	"CL"	"CL"	16	7	1	11	16	16	8	3	9	13	6	8
"1017092617101800570"	"1017092617101800570"	6163.34661025491	-4985.342880936	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617101800775"	"1017092617101800775"	5762.39828603194	-5015.90640997265	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617102020097-1"	"1017092617102020097-1"	4885.93640203314	-5148.06604615617	"MD"	"MD"	16	7	1	15	6	16	16	3	9	13	6	8
"1017092617101800284"	"1017092617101800284"	6262.87916173338	-4670.79969667414	"CL"	"CL"	6	3	15	11	12	19	8	10	21	13	6	8
"1017092617102040108-1"	"1017092617102040108-1"	5773.30712303518	-5072.04938304675	"PVT"	"PVT"	16	7	1	15	6	10	16	3	9	13	6	8
"1017092617102270438-1"	"1017092617102270438-1"	5689.86446676516	-5867.27904800139	"CM"	"CM"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617102040268-1"	"1017092617102040268-1"	5778.28418112753	-5208.88624320707	"MD"	"MD"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617102040090-1"	"1017092617102040090-1"	6105.6468912594	-5078.95924386955	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102040102-1"	"1017092617102040102-1"	5964.99165544418	-5094.11279153458	"MD"	"MD"	16	7	1	11	16	16	16	24	9	13	6	8
"1017092617102040105-1"	"1017092617102040105-1"	6010.05711171417	-5095.01956112069	"MD"	"MD"	16	7	1	11	16	16	16	3	9	13	6	8
"1017092617101770081-1"	"1017092617101770081-1"	4804.95527048756	-4681.60134722099	"LH"	"LH"	6	3	15	11	16	19	8	10	21	13	2	8
"1017092617101800708"	"1017092617101800708"	6114.20181039207	-5021.67561030144	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102260227-1"	"1017092617102260227-1"	5297.78256749208	-5761.74080712337	"MD"	"MD"	16	7	1	15	6	10	16	3	9	1	20	2
"1017092617101800727"	"1017092617101800727"	6213.64063864975	-5003.43108957317	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102040226"	"1017092617102040226"	6183.86630812096	-5139.0916923478	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102280439-1"	"1017092617102280439-1"	5854.59517464549	-5843.02856032652	"MD"	"MD"	8	1	1	2	3	4	6	24	2	4	20	2
"1017092617102040236"	"1017092617102040236"	6062.44753456722	-5166.11659668981	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102040379"	"1017092617102040379"	6133.93960985377	-5261.31117162367	"MD"	"MD"	8	1	1	2	3	4	6	24	2	1	20	2
"1017092617101770470"	"1017092617101770470"	4666.15750854044	-4966.34816676609	"CL"	"CL"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102040136"	"1017092617102040136"	6126.0867012806	-5102.04969067989	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102010109-1"	"1017092617102010109-1"	4679.56211680402	-5210.37064222166	"CL"	"CL"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102270249-1"	"1017092617102270249-1"	5601.58396127586	-5726.21789904705	"IMD"	"IMD"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617102020333-1"	"1017092617102020333-1"	4802.58620116695	-5348.11694397608	"MD"	"MD"	8	1	1	2	3	4	6	24	2	1	20	2
"1017092617102040437"	"1017092617102040437"	6007.069196602	-5325.40330893934	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	2
"1017092617102040212"	"1017092617102040212"	6059.69428022174	-5153.88439705149	"MD"	"MD"	16	7	1	11	16	16	6	24	21	1	20	2
"1017092617102010088-1"	"1017092617102010088-1"	4676.00610760308	-5198.4340514268	"CL"	"CL"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617102020255-1"	"1017092617102020255-1"	4828.96123583529	-5285.57305668916	"MD"	"MD"	8	1	1	2	3	4	3	23	2	1	20	2
"1017092617102040248"	"1017092617102040248"	5991.86459163246	-5175.2031833972	"MD"	"MD"	16	7	1	11	16	4	6	24	2	1	20	2
"1017092617101810188-1"	"1017092617101810188-1"	6282.51805936742	-4650.47607927667	"CL"	"CL"	6	3	15	11	12	19	8	3	21	13	6	8
"1017092617102010097-1"	"1017092617102010097-1"	4718.6485312598	-5198.69503436292	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617101800519-1"	"1017092617101800519-1"	6179.09102866856	-4961.02365206245	"MD"	"MD"	16	7	1	11	16	16	6	24	2	1	20	2
"1017092617101810518"	"1017092617101810518"	6269.52433825554	-4938.16245594135	"CL"	"CL"	16	7	1	11	16	16	6	24	2	1	20	2
