"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617101750052"	"1017092617101750052"	3530.37514807366	-4888.50629194569	"LP"	"LP"	4	4	5	3	20	5	11	1	5	20	12	5
"1017092617102490141-1"	"1017092617102490141-1"	4619.11471907792	-6247.54392621417	"VM"	"VM"	1	11	4	8	14	6	5	20	8	15	17	9
"1017092617102030412"	"1017092617102030412"	5688.87884040663	-5365.01969655623	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	2
"1017092617102470158-1"	"1017092617102470158-1"	3860.02805256688	-6404.90452280806	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102050268"	"1017092617102050268"	6277.0259340239	-5164.72636733947	"MD"	"MD"	8	1	1	2	3	4	6	24	2	1	20	2
"1017092617102290177-1"	"1017092617102290177-1"	6595.64640878238	-5547.61313447401	"PO"	"PO"	10	8	2	5	17	0	14	17	1	10	10	1
"1017092617102510677"	"1017092617102510677"	5655.28676604197	-6608.99909752226	"RE"	"RE"	1	11	4	20	2	6	22	11	18	23	22	15
"1017092617102010357-1"	"1017092617102010357-1"	4554.89505494774	-5439.33881840778	"CL"	"CL"	10	8	2	5	13	0	14	13	1	10	10	16
"1017092617102270123-1"	"1017092617102270123-1"	5510.09981706214	-5638.91512505057	"IMD"	"IMD"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617101740239"	"1017092617101740239"	3080.94533932561	-5036.27042237312	"RT"	"RT"	15	14	9	9	10	11	17	6	10	28	13	11
"1017092617101770171-1"	"1017092617101770171-1"	4263.8170053409	-4810.71913787203	"LP"	"LP"	13	15	2	17	11	7	24	12	6	10	10	21
"1017092617102290383-1"	"1017092617102290383-1"	6771.76870190828	-5704.29260544633	"PO"	"PO"	7	12	0	4	8	2	19	14	3	27	5	3
"1017092617102050513"	"1017092617102050513"	6566.55285155582	-5325.75584327445	"PO"	"PO"	10	8	2	5	13	0	14	17	1	10	10	1
"1017092617102290349-1"	"1017092617102290349-1"	6723.83132004622	-5685.61235253861	"PO"	"PO"	7	12	0	4	8	2	19	14	3	27	5	3
"1017092617102020634-1"	"1017092617102020634-1"	5137.67972497094	-5564.19616688834	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102320698"	"1017092617102320698"	8091.21880176025	-5716.27836247244	"RT"	"RT"	15	13	9	9	10	11	17	11	10	28	13	11
"1017092617102320771"	"1017092617102320771"	7987.0707295773	-5791.24423097392	"RT"	"RT"	15	15	9	9	10	11	17	12	10	28	13	11
"1017092617202520495"	"1017092617202520495"	5996.56955864092	-6435.40742715267	"SMT"	"SMT"	1	11	4	8	14	6	22	20	8	23	22	15
"1017092617101500182"	"1017092617101500182"	3079.17906659933	-4563.84291831236	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102080440"	"1017092617102080440"	7985.7227002636	-4951.68081223956	"LGv"	"LGv"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617101510432-1"	"1017092617101510432-1"	3375.00484218698	-4667.99544669517	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101530313"	"1017092617101530313"	4355.93244087236	-4401.56701756383	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	2	4
"1017092617101530328"	"1017092617101530328"	4261.042409186	-4428.40657731669	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	21	4
"1017092617101530908"	"1017092617101530908"	4718.45141493637	-4652.1494282974	"LP"	"LP"	6	3	3	12	12	3	20	10	4	17	2	23
"1017092617102080817"	"1017092617102080817"	7993.77153537519	-5242.39088449183	"RT"	"RT"	15	3	9	9	10	11	17	14	10	28	13	11
"1017092617102770453"	"1017092617102770453"	6485.9615034202	-6744.83269520997	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102770292"	"1017092617102770292"	6514.09228123677	-6677.53582438526	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617102320661"	"1017092617102320661"	8123.59131689754	-5662.6303560788	"RT"	"RT"	15	5	9	9	10	11	17	9	10	28	13	11
"1017092617102080721"	"1017092617102080721"	8089.25922104979	-5147.26533128377	"RT"	"RT"	15	3	9	9	10	11	17	22	10	28	13	11
"1017092617101980716"	"1017092617101980716"	3137.27451006922	-5872.04437847835	"RT"	"RT"	15	3	9	9	10	11	17	5	10	28	13	11
"1017092617101980888"	"1017092617101980888"	3154.75941487315	-5981.62993368879	"RT"	"RT"	15	3	9	9	10	11	17	24	10	28	13	11
"1017092617101740486"	"1017092617101740486"	3143.31041376828	-5180.95143187255	"RT"	"RT"	15	4	9	9	10	11	17	12	10	28	13	11
"1017092617102320540-1"	"1017092617102320540-1"	8080.94089171551	-5586.19026108392	"RT"	"RT"	15	8	9	9	10	11	17	5	10	28	13	11
"1017092617102080683"	"1017092617102080683"	7934.84129339657	-5137.51416008291	"RT"	"RT"	15	16	9	9	10	11	17	24	10	28	13	11
"1017092617101500854"	"1017092617101500854"	3066.73864971691	-4932.4180636753	"LGv"	"LGv"	15	12	9	9	10	11	17	9	10	28	13	11
