	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	STAGATE_config_default_label	SCAN-IT_config_default_label	scanpy_config_default_label	bass_config_default_label	CellCharter_config_default_label
spinalcord_3405	4556.536734693879	6439.646938775511	12.791836734693902	STARmap_plus	spinalcord	7	6	0	4	1.30826427330686	1	6	1	4	6	6
spinalcord_3406	4532.61139896373	5882.95336787565	15.398963730569902	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3407	5360.84042553191	5779.90957446809	6.497340425531911	STARmap_plus	spinalcord	7	6	0	4	1.26208383083673	3	6	1	0	1	2
spinalcord_3408	5382.666666666671	6139.829268292679	11.3886178861789	STARmap_plus	spinalcord	7	6	0	4	1.21671324925119	1	6	1	2	4	2
spinalcord_3409	4702.94491525424	6123.173728813559	14.4872881355932	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3410	4634.16022099447	5865.187845303871	8.89502762430939	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3411	4718.921052631579	6012.87969924812	16.1315789473684	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3412	4374.3834422658	6098.760348583879	12.0435729847495	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3413	4153.00980392157	5955.637254901961	11.9052287581699	STARmap_plus	spinalcord	7	7	3	3	0.963457252632055	6	7	6	6	4	6
spinalcord_3414	4526.42307692308	6176.689102564101	15.1923076923077	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3415	5151.2337228714505	5771.8347245409	11.322203672788	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3416	4798.9919168591205	5959.27944572748	10.1224018475751	STARmap_plus	spinalcord	7	6	0	4	1.53074309813497	6	6	1	0	6	6
spinalcord_3417	4213.15789473684	6048.26860254083	14.176043557168802	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3418	4682.29866666667	5895.37866666667	12.976	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3419	4575.5802919708	6136.95620437956	14.5948905109489	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3420	4466.8560885608895	5889.72693726937	13.8856088560886	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3421	4302.29661016949	6100.923728813559	20.228813559322	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3422	4437.60191082803	6530.10191082803	15.8025477707006	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
