	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907101600386-1	3301.9401441535774	-5699.005831712559	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	10	7	5	1.47683165075809	12	5	0	13	8	7
1019171907202770167	7325.044089624701	-5189.453606863241	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	10	7	9	1.60775945153052	6	5	0	13	8	10
1019171907102540304	6888.027403907618	-5129.19847262142	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907101830182-1	3925.244173010317	-5661.886584165836	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101400548	3752.4904454851926	-4848.891206282783	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	13	1	17	1.59921858573918	4	10	1	9	2	1
1019171907102270061-1	4520.230276752395	-6293.201148729282	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.67623493913473	6	1	0	15	0	1
1019171907201830464	4245.749060368685	-5766.315934481335	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	17	1.37760836093005	5	2	1	9	2	8
1019171907102050182-1	4425.870931780263	-5878.144530687463	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.32456551357215	5	2	1	4	2	18
1019171907101830081	3932.030759838165	-5498.344474272929	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101830078-1	3748.274280936418	-5657.838736733279	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.48369405564586	6	1	0	15	16	9
1019171907101400556	3763.526693269952	-4848.902670568634	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	13	11	6	1.65396926356785	4	10	9	3	2	1
1019171907101610436-1	3888.162245985892	-5253.509108122329	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	9	1.69247744026563	6	2	0	13	2	5
1019171907102270110	4562.630303155393	-6336.270927297502	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	16	14	1	1.56071040904141	7	14	16	11	4	2
