	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907103000525	8237.164350577183	-5244.113737289572	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	16	14	1.59921858573918	18	17	4	14	14	6
1019171907102780454	7907.773048490102	-5089.880562229308	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.39214303159018	13	4	2	8	1	10
1019171907101620161	3885.454139425237	-4984.734152932996	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	17	1.50766756168351	5	2	1	9	2	10
1019171907101600132-1	3034.645834883094	-5612.15698677476	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600130-1	3014.436886170922	-5634.039899441957	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102530522	6585.047957921232	-5602.69906459855	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.32456551357215	5	2	1	4	2	18
1019171907102060015	4332.455180901641	-5718.1467723204205	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.47683165075809	5	2	1	3	2	18
1019171907102570580-1	7805.219535070784	-4433.874378256805	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.59921858573918	13	4	2	8	1	18
1019171907102740084-1	6267.640266795881	-6104.091967969372	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.75325129253028	2	8	10	7	5	18
1019171907102520400	6103.850421817879	-5912.166830031745	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.59921858573918	14	8	11	7	5	3
1019171907102760334	7130.786133287606	-5638.298436775111	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.63772676243696	6	1	0	15	16	18
1019171907101400066	3568.012945473459	-4482.961678811816	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.59921858573918	13	4	2	8	1	18
1019171907102080230	5376.490217990299	-4855.516035138474	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	1	10	7	1.55342838892775	1	11	15	18	17	4
1019171907102520340	6190.354523185516	-5774.125850249566	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.75325129253028	2	8	10	7	5	18
1019171907102070182-1	4977.379548426748	-5331.681591465067	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102070425-1	5097.348500970588	-5389.519041691379	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.68477580492607	9	6	6	1	9	10
1019171907101390122	3419.3925754948896	-4689.117032190207	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.43065120828796	13	4	2	4	1	8
1019171907101390150	3180.8974359382346	-4897.957854863218	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.43065120828796	13	4	2	4	1	8
1019171907102280228-1	4971.097867708647	-6083.111927002935	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	15	3	1.56071040904141	1	3	8	9	0	10
1019171907102300371	5717.06455063208	-5474.195908071729	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	7	1.63772676243696	1	3	5	16	3	10
1019171907102530411	6295.707929150324	-5748.336716906295	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.71474311583251	2	8	10	7	5	10
1019171907201590403	3051.772269575876	-5898.257946680887	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380567	3009.3537360722567	-5277.142986476376	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370711	2703.502757427096	-5693.685799445339	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102530151	6260.861406826186	-5427.2920414967775	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.71474311583251	14	8	11	7	5	10
1019171907101370733	2832.8021854638523	-5611.461447298613	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102260394	4210.364467231273	-6919.449093439087	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907103210162	7990.925601652313	-5920.580310091262	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590250-1	2943.8174578314365	-5841.146798297646	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102480051-1	4457.485227686174	-6958.945836913419	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907101590234	2900.612151515184	-5898.111590426724	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590331-1	2936.81184384307	-5903.054297932442	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600176-1	3048.976586334778	-5654.226292166302	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600212-1	3063.9361495046724	-5679.709554229454	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103200362	7536.575130938764	-6372.990963839905	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.67623493913473	8	9	4	17	15	13
1019171907103220112	8186.172890685824	-5558.574479695991	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.52220223234363	8	17	4	17	15	13
1019171907101600382	3127.9768189395927	-5840.274710203657	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380630	3051.272020760151	-5324.303178621972	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102270297-1	4639.122944618932	-6494.277640650437	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	14	1	1.59921858573918	7	14	16	14	4	6
1019171907101380582	2803.759526353648	-5504.398311467539	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380546	3125.474662163002	-5182.671734740116	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590464-1	3090.988997227071	-5905.977369773332	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210285	8033.511534227966	-5991.725104513175	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210188	8051.74924034909	-5774.745593772764	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370762	2719.445634832653	-5746.56825445731	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380618	2990.3737623977863	-5381.25043902326	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102950466	6495.319933270025	-6893.44654236204	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907101590087	2804.771126429632	-5729.204608679993	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590115-1	2868.9393040461887	-5721.4666229227305	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590194	2879.517853399316	-5890.652045363007	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590463-1	3101.9447313324645	-5900.380240890213	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590436-1	3038.0152456652027	-5907.650040593608	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210244	7964.426580552429	-6006.021357395185	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.63772676243696	16	13	14	17	15	13
1019171907103210478	8014.056064769742	-6048.936360547872	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380552	3083.461939875046	-5201.382684325918	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102960461	6612.553216328519	-6850.489335941411	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907101600072-1	3033.261708515045	-5546.470303402344	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210385	8044.757507998104	-5995.96984960866	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103200387	7717.183315919859	-6234.483306399031	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.54617573838128	16	9	14	17	15	13
1019171907101600162-1	3028.223804543931	-5660.263442905253	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590394-1	3086.623420311416	-5863.741760417815	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590288-1	2891.98581587138	-5928.830204158017	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102260365-1	4302.78632007563	-6788.843805095148	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907101810084	3185.2798992005023	-6136.630399168947	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590341-1	3004.194351382612	-5858.215146195614	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370784	2807.88926924452	-5688.432304889924	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380472	2898.990703786956	-5327.367042610749	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380509	3037.819778380458	-5156.977256151216	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.63772676243696	16	13	14	17	15	13
1019171907101590311-1	3095.5197704416582	-5774.923208268689	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380510	3096.26298674464	-5152.2174271180165	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.63772676243696	16	13	14	17	15	13
1019171907101600227	3063.555458684911	-5697.923525242662	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600172	3041.129642209005	-5651.689694703066	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590071-1	2844.040599583885	-5681.941967016563	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102960355	6615.309340171616	-6732.048987802559	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907102260155-1	4127.126212269354	-6702.774346912729	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	13	6
1019171907101380498	2933.626574570275	-5313.706999922929	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370778	2798.481844610787	-5677.444852661636	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590347-1	2971.718795378128	-5880.049048473308	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102270382-1	4533.962840962807	-6680.160012548241	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907101590533	3217.146846253229	-5917.528699386857	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.65396926356785	8	5	14	17	7	13
1019171907103200016	7329.808958766303	-6275.790887058088	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907103210404	8048.056497493444	-5995.87388936211	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380561	2936.8734007203907	-5374.821584569941	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380712	3060.723585223643	-5418.163831144315	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380725	3068.794184928938	-5401.73308035448	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102490082	4619.960586271429	-6844.18503267047	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907102280454	4957.88163281103	-6444.544880154965	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	16	14	1	1.58468391507905	7	14	16	17	4	13
1019171907101810427	3502.7623764909586	-6206.321453920639	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907101590372	3055.1702503587603	-5852.746935243438	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590210	3004.3906708228333	-5748.626564063398	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590598	3180.4168266172323	-6007.928219522981	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370756	2717.895453866239	-5732.219959445935	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380528	2877.182143509478	-5411.735782439739	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380562	2822.55365200258	-5475.246160062202	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210276	7887.869741178836	-6044.467340222627	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	16	13	4	12	15	6
1019171907103000551	8070.01454180779	-5408.524611312968	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.46915938498573	8	17	4	12	14	6
1019171907101380733	3005.380066429903	-5521.651240555287	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370649	2831.089373672731	-5532.852242176768	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380615	2842.9308434488667	-5508.989909919961	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590324-1	2977.7475474771763	-5865.545497144336	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102990536	7704.546784592995	-5859.844192652363	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.44734269421194	8	5	17	12	15	6
1019171907101380584	3001.7349365816817	-5315.05338913862	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210155	7983.474159265546	-5917.988173874342	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.63772676243696	16	13	14	17	15	13
1019171907101590469-1	3159.342144311288	-5870.656083371325	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590118-1	2864.4387024515413	-5731.693212535271	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590090	2826.820830293416	-5718.079507324684	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101810209	3297.2497494605004	-6228.505751633917	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	8	11	1.67623493913473	8	9	14	17	15	13
1019171907102990587	7819.238825993161	-5814.729097877542	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907101810202	3356.286596345565	-6157.86012366455	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907101370716	2759.9633883379897	-5637.155665414729	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103200360	7652.856134257396	-6263.420739131178	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.54617573838128	16	9	14	17	15	13
1019171907103210324	8065.8923625538	-5954.548522176176	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590398-1	3111.6728337680665	-5839.01799189942	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101810053	3200.821783119733	-6078.037806291117	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102260136-1	4208.711975553078	-6609.32716920084	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	13	6
1019171907101590197	2977.262126936042	-5760.448631853327	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102990376	7961.544471574886	-5450.6319080814565	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907103210071	7905.264288818723	-5732.687829069383	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907101590204	2943.907427921812	-5789.221522051289	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590547	3137.4583820900834	-5974.428346997557	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380325	2932.146811994652	-5155.117156497554	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.46915938498573	8	17	4	12	14	6
1019171907101810283	3377.193574477514	-6211.411461309642	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907103000726	8026.48030232915	-5536.138887575593	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907101380397	2981.0764273835457	-5114.762431248956	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	15	6
1019171907102960403	6516.581824710183	-6881.504751256176	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907103210447	7994.375990478106	-6057.862454398552	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210280	8045.452262406665	-5966.605284969626	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210283	7986.936366921379	-6025.221374005152	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103210308	7969.118901985688	-6039.139763112391	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590279-1	2993.825593278264	-5819.992197260859	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590240-1	2977.618695006622	-5795.145376440048	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590242-1	2960.9243736958383	-5802.461425190581	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370776	2774.05115401361	-5696.484226238473	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600141-1	3002.4705789892487	-5667.250669235187	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380686	3102.7253603752024	-5339.723265548239	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590519	3136.844772735172	-5951.604616565016	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600047-1	3029.1466271923005	-5519.226788010866	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380623	3061.6845021392	-5310.909858144091	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380580	2905.937060681504	-5420.42041816628	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907203210279	8057.69337346342	-5955.008053661312	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590254-1	3061.3941658793465	-5742.053908010929	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380559	3124.228881703089	-5191.849613356179	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103200374	7776.938465716613	-6185.86479148076	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	8	14	1.67623493913473	8	9	14	17	15	13
1019171907101590305-1	3012.210215233679	-5825.063936034948	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590235	2946.113196186398	-5818.393940775208	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590109-1	2816.0919762119765	-5747.050508764314	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590302	3054.468471382658	-5792.827806338095	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907103200150	7619.629887735309	-6127.641675482396	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.71474311583251	8	9	4	12	15	6
1019171907101370747	2816.1929321208154	-5639.975471971409	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590487	3131.916883054744	-5914.235913761802	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590573	3153.7448404728207	-5997.791328730795	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590388-1	2965.924039852161	-5903.635324323545	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600093-1	2961.40115503075	-5630.825396471898	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370688	2766.27239961262	-5606.077710071113	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380492	2861.999443259187	-5392.335187336086	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370686	2749.4656546697183	-5622.603759265106	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590080-1	2904.8182174751846	-5652.767352635985	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380543	3080.2601619470424	-5182.704061211847	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
