	x	y	data	sample	cluster_number	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	SCAN-IT_config_default_label	SpaceFlow_config_default_label	DRSC_config_default_label	SCAN-IT_config_seqFISH_mouse_SScortex_label	stardust_config_default_label
FN4_D1_batch2_229_220	462	43	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_241_185	474	8	stereoseq_liver	FN4_D1_batch2	9	9	1.35489370057009	5	6	8	5	6	8
FN4_D1_batch2_190_149	423	-28	stereoseq_liver	FN4_D1_batch2	9	8	1.42423778819328	2	2	6	1	5	1
FN4_D1_batch2_134_227	367	50	stereoseq_liver	FN4_D1_batch2	9	7	1.56071040904141	5	4	2	3	7	0
FN4_D1_batch2_196_75	429	-102	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_159_234	392	57	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_143_79	376	-98	stereoseq_liver	FN4_D1_batch2	9	8	1.48200005323994	6	5	6	1	3	1
FN4_D1_batch2_171_69	404	-108	stereoseq_liver	FN4_D1_batch2	9	2	1.4546247143256	8	5	7	3	6	7
FN4_D1_batch2_187_157	420	-20	stereoseq_liver	FN4_D1_batch2	9	6	1.39256264681608	3	7	1	2	2	5
FN4_D1_batch2_134_160	367	-17	stereoseq_liver	FN4_D1_batch2	9	5	1.53032348290908	3	0	3	1	0	2
FN4_D1_batch2_188_175	421	-2	stereoseq_liver	FN4_D1_batch2	9	4	1.39298226204197	3	4	2	6	1	2
FN4_D1_batch2_236_205	469	28	stereoseq_liver	FN4_D1_batch2	9	1	1.42083595531659	6	8	0	3	4	0
FN4_D1_batch2_231_171	464	-6	stereoseq_liver	FN4_D1_batch2	9	6	1.54617573838128	4	7	1	2	4	5
FN4_D1_batch2_154_79	387	-98	stereoseq_liver	FN4_D1_batch2	9	6	1.10730100517747	7	3	0	7	4	7
FN4_D1_batch2_234_145	467	-32	stereoseq_liver	FN4_D1_batch2	9	2	1.54659535360717	8	5	2	5	3	1
FN4_D1_batch2_235_269	468	92	stereoseq_liver	FN4_D1_batch2	9	9	1.48453328609765	5	6	2	6	3	0
FN4_D1_batch2_186_229	419	52	stereoseq_liver	FN4_D1_batch2	9	5	1.4070973174762	1	0	3	6	1	3
FN4_D1_batch2_197_275	430	98	stereoseq_liver	FN4_D1_batch2	9	3	1.6458480130024	4	1	1	2	2	6
FN4_D1_batch2_182_131	415	-46	stereoseq_liver	FN4_D1_batch2	9	8	1.43191005396564	2	2	4	1	5	1
FN4_D1_batch2_220_211	453	34	stereoseq_liver	FN4_D1_batch2	9	3	1.46915938498573	4	1	0	3	2	0
FN4_D1_batch2_177_93	410	-84	stereoseq_liver	FN4_D1_batch2	9	6	1.5080871769094	7	7	1	2	4	5
FN4_D1_batch2_196_229	429	52	stereoseq_liver	FN4_D1_batch2	9	5	1.52220223234363	1	0	3	1	0	2
FN4_D1_batch2_123_132	356	-45	stereoseq_liver	FN4_D1_batch2	9	3	1.50766756168351	4	7	0	7	4	7
FN4_D1_batch2_172_135	405	-42	stereoseq_liver	FN4_D1_batch2	9	9	1.46915938498573	2	3	2	6	0	1
FN4_D1_batch2_216_199	449	22	stereoseq_liver	FN4_D1_batch2	9	7	1.48411367087175	9	3	2	3	7	0
FN4_D1_batch2_180_213	413	36	stereoseq_liver	FN4_D1_batch2	9	5	1.57014924441893	1	4	3	1	1	2
FN4_D1_batch2_194_74	427	-103	stereoseq_liver	FN4_D1_batch2	9	2	1.52220223234363	8	5	1	5	6	7
FN4_D1_batch2_222_181	455	4	stereoseq_liver	FN4_D1_batch2	9	9	1.12995692640304	6	2	5	6	0	2
FN4_D1_batch2_217_147	450	-30	stereoseq_liver	FN4_D1_batch2	9	8	1.36349330549582	2	8	4	1	3	2
FN4_D1_batch2_204_159	437	-18	stereoseq_liver	FN4_D1_batch2	9	9	1.55342838892775	7	3	2	6	7	1
FN4_D1_batch2_225_274	458	97	stereoseq_liver	FN4_D1_batch2	9	3	1.4387724588534	5	1	0	7	7	6
FN4_D1_batch2_218_140	451	-37	stereoseq_liver	FN4_D1_batch2	9	2	1.40592758338214	8	5	2	3	3	1
FN4_D1_batch2_169_253	402	76	stereoseq_liver	FN4_D1_batch2	9	5	1.49397212147517	1	0	4	1	0	3
FN4_D1_batch2_206_110	439	-67	stereoseq_liver	FN4_D1_batch2	9	8	1.41695576807962	2	5	4	1	3	4
FN4_D1_batch2_137_109	370	-68	stereoseq_liver	FN4_D1_batch2	9	6	1.54617573838128	4	7	1	2	4	5
FN4_D1_batch2_228_244	461	67	stereoseq_liver	FN4_D1_batch2	9	3	1.52220223234363	4	1	0	7	2	0
FN4_D1_batch2_235_268	468	91	stereoseq_liver	FN4_D1_batch2	9	9	1.30709453921281	5	6	5	6	3	3
FN4_D1_batch2_198_239	431	62	stereoseq_liver	FN4_D1_batch2	9	7	1.46915938498573	4	1	0	3	1	0
FN4_D1_batch2_219_228	452	51	stereoseq_liver	FN4_D1_batch2	9	3	1.60733983630463	4	1	1	7	2	6
FN4_D1_batch2_198_87	431	-90	stereoseq_liver	FN4_D1_batch2	9	2	1.56071040904141	8	7	1	5	6	5
FN4_D1_batch2_157_154	390	-23	stereoseq_liver	FN4_D1_batch2	9	7	1.39298226204197	3	8	0	3	1	1
FN4_D1_batch2_228_144	461	-33	stereoseq_liver	FN4_D1_batch2	9	6	1.5080871769094	7	7	1	2	4	5
FN4_D1_batch2_222_120	455	-57	stereoseq_liver	FN4_D1_batch2	9	2	1.44009004366548	8	5	7	1	3	4
FN4_D1_batch2_237_147	470	-30	stereoseq_liver	FN4_D1_batch2	9	2	1.46957900021162	8	5	6	1	6	4
FN4_D1_batch2_204_246	437	69	stereoseq_liver	FN4_D1_batch2	9	5	1.38486101147652	1	0	3	6	0	3
FN4_D1_batch2_190_125	423	-52	stereoseq_liver	FN4_D1_batch2	9	1	1.32891122998659	7	3	0	3	7	1
FN4_D1_batch2_172_195	405	18	stereoseq_liver	FN4_D1_batch2	9	4	1.34677245000464	3	4	5	6	1	2
FN4_D1_batch2_239_210	472	33	stereoseq_liver	FN4_D1_batch2	9	1	1.4391920740793	5	6	7	3	3	0
FN4_D1_batch2_238_200	471	23	stereoseq_liver	FN4_D1_batch2	9	9	1.53074309813497	5	6	2	3	3	0
